State,Obama,McCain,Start,End,Pollster
NV,52,45,10/23,28-Oct,Opinion Research
NV,50,46,10/27,27-Oct,Rasmussen
NV,48,44,10/23,26-Oct,Zogby
NV,50,40,10/26,26-Oct,Suffolk U.
NV,52,40,10/23,26-Oct,GfK Roper
NV,51,46,10/19,21-Oct,Opinion Research
NV,47,47,10/19,19-Oct,Insider Advantage
NV,50,45,10/16,16-Oct,Rasmussen
NV,49,46,10/13,13-Oct,Insider Advantage
NV,47,45,10/8,9-Oct,Mason-Dixon
NV,49,47,10/6,6-Oct,Insider Advantage
NV,51,47,10/2,2-Oct,Rasmussen
NV,48,47,9/30,30-Sep,Insider Advantage
NV,51,47,9/28,30-Sep,Opinion Research
NV,47,49,9/27,29-Sep,ARG
NV,45,46,9/17,21-Sep,Suffolk U.
NV,46,49,9/12,14-Sep,ARG
NV,46,49,9/11,11-Sep,Rasmussen
NV,45,46,9/9,10-Sep,Insider Advantage
NV,49,44,8/24,26-Aug,Opinion Research
NV,39,46,8/13,15-Aug,Mason-Dixon
NV,42,45,8/11,11-Aug,Rasmussen
NV,42,40,7/16,16-Jul,Rasmussen
NV,42,45,6/18,18-Jun,Rasmussen
NV,42,44,6/9,11-Jun,Mason-Dixon
NV,40,46,5/20,20-May,Rasmussen
NV,43,48,4/21,21-Apr,Rasmussen
NV,45,41,3/19,19-Mar,Rasmussen
NV,46,41,2/26,28-Feb,SurveyUSA
NV,50,38,2/12,12-Feb,Rasmussen
NH,50,46,10/30,30-Oct,Rasmussen
NH,53,39,10/28,30-Oct,U. of New Hampshire
NH,53,42,10/29,30-Oct,SurveyUSA
NH,56,41,10/28,30-Oct,ARG
NH,53,40,10/27,29-Oct,Suffolk U.
NH,58,33,10/25,27-Oct,U. of New Hampshire
NH,55,37,10/22,26-Oct,GfK Roper
NH,50,39,10/23,25-Oct,Mason-Dixon
NH,50,45,10/22,23-Oct,Marist Coll.
NH,50,46,10/23,23-Oct,Rasmussen
NH,54,39,10/18,22-Oct,U. of New Hampshire
NH,52,43,10/6,8-Oct,ARG
NH,53,45,10/3,6-Oct,Opinion Research
NH,53,40,10/4,5-Oct,SurveyUSA
NH,53,43,10/1,1-Oct,Rasmussen
NH,49,37,9/25,30-Sep,Saint Anselm Coll.
NH,46,45,9/20,24-Sep,Suffolk U.
NH,47,49,9/23,23-Sep,Rasmussen
NH,44,43,9/18,22-Sep,Financial Dynamics
NH,45,47,9/14,21-Sep,U. of New Hampshire
NH,51,45,9/17,21-Sep,Marist Coll.
NH,45,48,9/13,15-Sep,ARG
NH,51,45,9/7,9-Sep,Opinion Research
NH,46,45,8/18,20-Aug,ARG
NH,43,42,8/19,19-Aug,Rasmussen
NH,47,41,7/23,23-Jul,Rasmussen
NH,47,45,7/19,21-Jul,ARG
NH,46,43,7/11,20-Jul,U. of New Hampshire
NH,50,39,6/18,18-Jun,Rasmussen
NH,51,39,6/13,17-Jun,ARG
NH,48,43,5/21,21-May,Rasmussen
NH,39,42,4/28,2-May,Dartmouth Coll.
NH,41,51,4/30,30-Apr,Rasmussen
NH,43,49,4/25,30-Apr,U. of New Hampshire
NH,43,46,3/16,16-Mar,Rasmussen
NH,46,44,2/26,28-Feb,SurveyUSA
NH,49,36,2/11,11-Feb,Rasmussen
NJ,52,42,10/29,30-Oct,SurveyUSA
NJ,55,34,10/24,30-Oct,Monmouth U.
NJ,53,35,10/23,29-Oct,Fairleigh Dickinson U.
NJ,56,39,10/20,21-Oct,Marist Coll.
NJ,59,36,10/16,19-Oct,Quinnipiac U.
NJ,55,38,10/15,18-Oct,Monmouth U.
NJ,55,40,10/11,12-Oct,SurveyUSA
NJ,50,42,10/7,7-Oct,Rasmussen
NJ,50,37,9/29,5-Oct,Fairleigh Dickinson U.
NJ,52,42,9/27,28-Sep,SurveyUSA
NJ,51,42,9/19,21-Sep,ARG
NJ,55,42,9/16,16-Sep,Rasmussen
NJ,48,45,9/10,14-Sep,Quinnipiac U.
NJ,49,41,9/11,14-Sep,Monmouth U.
NJ,48,45,9/5,8-Sep,Marist Coll.
NJ,47,41,9/4,7-Sep,Fairleigh Dickinson U.
NJ,51,41,8/4,10-Aug,Quinnipiac U.
NJ,48,40,8/4,4-Aug,Rasmussen
NJ,50,36,7/17,21-Jul,Monmouth U.
NJ,44,39,6/7,7-Jul,Rasmussen
NJ,49,33,6/17,23-Jun,Fairleigh Dickinson U.
NJ,45,39,6/5,8-Jun,Quinnipiac U.
NJ,48,39,6/4,4-Jun,Rasmussen
NJ,56,32,4/24,28-Apr,Monmouth U.
NJ,47,42,3/24,30-Mar,Fairleigh Dickinson U.
NJ,45,46,3/27,27-Mar,Rasmussen
NJ,43,43,2/26,28-Feb,SurveyUSA
NJ,43,45,2/27,27-Feb,Rasmussen
NJ,43,38,2/18,24-Feb,Fairleigh Dickinson U.
NJ,46,39,2/13,18-Feb,Quinnipiac U.
NM,52,45,10/29,31-Oct,SurveyUSA
NM,51,43,10/28,30-Oct,Research and Polling
NM,54,44,10/28,28-Oct,Rasmussen
NM,52,45,10/12,13-Oct,SurveyUSA
NM,55,42,10/13,13-Oct,Rasmussen
NM,45,40,9/29,2-Oct,Research and Polling
NM,49,44,10/1,1-Oct,Rasmussen
NM,52,44,9/29,30-Sep,SurveyUSA
NM,51,44,9/14,16-Sep,ARG
NM,52,44,9/14,16-Sep,SurveyUSA
NM,49,42,9/11,15-Sep,Financial Dynamics
NM,47,49,9/8,8-Sep,Rasmussen
NM,53,40,8/24,26-Aug,Opinion Research
NM,47,41,8/20,20-Aug,Rasmussen
NM,41,45,8/13,15-Aug,Mason-Dixon
NM,46,41,7/24,24-Jul,Rasmussen
NM,49,46,6/17,19-Jun,SurveyUSA
NM,47,39,6/18,18-Jun,Rasmussen
NM,44,44,5/16,18-May,SurveyUSA
NM,50,41,5/14,14-May,Rasmussen
NM,44,50,4/11,13-Apr,SurveyUSA
NM,45,42,4/8,8-Apr,Rasmussen
NM,51,45,3/14,16-Mar,SurveyUSA
NM,50,43,2/26,28-Feb,SurveyUSA
NM,44,44,2/17,18-Feb,Rasmussen
NM,55,40,2/15,17-Feb,SurveyUSA
NM,41,50,1/20,21-Jan,SurveyUSA
NY,62,33,10/27,28-Oct,SurveyUSA
NY,65,29,10/21,22-Oct,Marist Coll.
NY,62,31,10/19,21-Oct,Siena Coll.
NY,57,37,10/14,14-Oct,Rasmussen
NY,64,31,10/11,12-Oct,SurveyUSA
NY,58,36,9/28,30-Sep,Siena Coll.
NY,57,38,9/23,24-Sep,SurveyUSA
NY,55,38,9/14,16-Sep,ARG
NY,55,42,9/15,15-Sep,Rasmussen
NY,46,41,9/8,10-Sep,Siena Coll.
NY,47,39,8/11,14-Aug,Siena Coll.
NY,52,32,8/4,4-Aug,Rasmussen
NY,57,36,7/31,4-Aug,Quinnipiac U.
NY,44,26,7/17,29-Jul,Siena Coll.
NY,50,37,7/7,10-Jul,Siena Coll.
NY,60,29,6/30,30-Jun,Rasmussen
NY,57,37,6/25,27-Jun,SurveyUSA
NY,51,32,6/6,11-Jun,NY Times
NY,51,33,6/9,11-Jun,Siena Coll.
NY,50,36,6/3,8-Jun,Quinnipiac U.
NY,52,33,5/28,28-May,Rasmussen
NY,48,38,5/16,18-May,SurveyUSA
NY,48,38,5/16,17-May,SurveyUSA
NY,49,38,5/12,14-May,Siena Coll.
NY,52,35,5/1,1-May,Rasmussen
NY,45,40,4/13,16-Apr,Siena Coll.
NY,47,39,4/14,15-Apr,Quinnipiac U.
NY,52,43,4/11,13-Apr,SurveyUSA
NY,46,48,4/3,8-Apr,Marist Coll.
NY,49,38,3/16,18-Mar,Quinnipiac U.
NY,52,44,3/14,16-Mar,SurveyUSA
NY,51,38,3/11,11-Mar,Rasmussen
NY,52,38,2/26,28-Feb,SurveyUSA
NY,57,36,2/15,17-Feb,SurveyUSA
NY,47,40,2/11,14-Feb,Siena Coll.
NY,49,43,1/20,21-Jan,SurveyUSA
NY,44,42,1/14,17-Jan,Siena Coll.
NC,48,49,10/30,2-Nov,Zogby
NC,45,38,10/27,30-Oct,Elon U.
NC,46,49,10/29,30-Oct,Mason-Dixon
NC,48,48,10/29,29-Oct,Insider Advantage
NC,50,48,10/29,29-Oct,Rasmussen
NC,52,46,10/23,28-Oct,Opinion Research
NC,47,43,10/23,27-Oct,Financial Dynamics
NC,48,46,10/22,26-Oct,GfK Roper
NC,48,49,10/26,26-Oct,Rasmussen
NC,50,46,10/23,26-Oct,Zogby
NC,47,47,10/22,24-Oct,Mason-Dixon
NC,48,50,10/23,23-Oct,Rasmussen
NC,48,46,10/20,21-Oct,Marshall Marketing
NC,51,47,10/19,21-Oct,Opinion Research
NC,47,47,10/18,20-Oct,SurveyUSA
NC,45,44,9/28,19-Oct,Winthrop U.
NC,49,48,10/19,19-Oct,Insider Advantage
NC,51,48,10/19,19-Oct,Rasmussen
NC,48,46,10/13,13-Oct,Insider Advantage
NC,48,48,10/12,12-Oct,Rasmussen
NC,49,48,10/8,8-Oct,Rasmussen
NC,46,48,10/6,7-Oct,Marshall Marketing
NC,46,49,10/5,6-Oct,SurveyUSA
NC,49,49,10/3,6-Oct,Opinion Research
NC,50,47,9/30,30-Sep,Rasmussen
NC,46,49,9/27,29-Sep,ARG
NC,49,47,9/23,23-Sep,Rasmussen
NC,35,41,9/15,18-Sep,Elon U.
NC,47,50,9/18,18-Sep,Rasmussen
NC,41,52,9/13,16-Sep,ARG
NC,47,48,9/14,16-Sep,Opinion Research
NC,38,58,9/6,8-Sep,SurveyUSA
NC,43,45,8/19,19-Aug,Insider Advantage
NC,42,46,8/13,13-Aug,Rasmussen
NC,45,49,8/9,11-Aug,SurveyUSA
NC,42,45,7/15,15-Jul,Rasmussen
NC,45,50,7/12,14-Jul,SurveyUSA
NC,43,45,6/10,10-Jun,Rasmussen
NC,43,51,5/17,19-May,SurveyUSA
NC,45,48,5/8,8-May,Rasmussen
NC,39,48,4/9,10-Apr,Tel Opinion Research
NC,47,47,4/10,10-Apr,Rasmussen
NC,42,51,3/20,20-Mar,Rasmussen
NC,45,47,2/26,28-Feb,SurveyUSA
ND,45,43,10/6,8-Oct,Minnesota State U.
ND,43,52,9/15,17-Sep,ARG
ND,41,55,9/8,8-Sep,Rasmussen
ND,43,40,8/23,27-Aug,DFM Research
ND,43,43,7/8,8-Jul,Rasmussen
ND,38,44,3/24,3-Apr,Dakota Wesleyan U.
ND,46,42,2/26,28-Feb,SurveyUSA
OH,50,44,10/30,2-Nov,Zogby
OH,52,46,10/22,31-Oct,Columbus Dispatch
OH,45,47,10/29,30-Oct,Mason-Dixon
OH,51,47,10/23,28-Oct,Opinion Research
OH,48,41,10/23,27-Oct,Financial Dynamics
OH,49,40,10/25,27-Oct,LA Times
OH,49,45,10/26,27-Oct,SurveyUSA
OH,48,41,10/22,26-Oct,GfK Roper
OH,48,45,10/24,26-Oct,Marist Coll.
OH,49,45,10/26,26-Oct,Rasmussen
OH,50,45,10/23,26-Oct,Zogby
OH,51,42,10/22,26-Oct,Quinnipiac U.
OH,57,41,10/12,23-Oct,Ohio U.
OH,49,46,10/18,22-Oct,U. of Cincinnati
OH,52,42,10/22,22-Oct,Insider Advantage
OH,53,41,10/19,22-Oct,U. of Wisconsin
OH,50,46,10/19,21-Oct,Opinion Research
OH,52,38,10/16,21-Oct,Quinnipiac U.
OH,47,49,10/19,19-Oct,Rasmussen
OH,51,42,10/16,19-Oct,Suffolk U.
OH,45,46,10/16,17-Oct,Mason-Dixon
OH,45,41,9/24,15-Oct,U. of Akron
OH,49,49,10/14,14-Oct,Rasmussen
OH,50,45,10/12,13-Oct,SurveyUSA
OH,49,47,10/12,12-Oct,Rasmussen
OH,49,44,10/9,9-Oct,Insider Advantage
OH,46,48,10/4,8-Oct,U. of Cincinnati
OH,49,45,10/5,8-Oct,Marist Coll.
OH,48,45,10/4,7-Oct,ARG
OH,50,47,10/3,6-Oct,Opinion Research
OH,47,48,10/5,5-Oct,Rasmussen
OH,51,45,10/3,5-Oct,ABC News
OH,51,45,10/3,5-Oct,Washington Post
OH,49,42,9/24,3-Oct,Columbus Dispatch
OH,47,45,9/29,29-Sep,Insider Advantage
OH,48,49,9/28,29-Sep,SurveyUSA
OH,50,42,9/27,29-Sep,Quinnipiac U.
OH,47,48,9/28,28-Sep,Rasmussen
OH,46,47,9/23,23-Sep,Rasmussen
OH,46,46,9/22,22-Sep,Insider Advantage
OH,46,50,9/21,21-Sep,Rasmussen
OH,46,45,9/14,17-Sep,U. of Wisconsin
OH,42,48,9/12,16-Sep,U. of Cincinnati
OH,49,47,9/14,16-Sep,Opinion Research
OH,41,42,9/11,15-Sep,Financial Dynamics
OH,47,45,9/11,15-Sep,Marist Coll.
OH,45,48,9/14,14-Sep,Rasmussen
OH,45,49,9/12,14-Sep,SurveyUSA
OH,42,46,9/10,13-Sep,Suffolk U.
OH,44,50,9/10,13-Sep,ARG
OH,44,48,9/5,10-Sep,U. of Cincinnati
OH,47,48,9/9,10-Sep,Insider Advantage
OH,49,44,9/5,9-Sep,Quinnipiac U.
OH,44,51,9/7,7-Sep,Rasmussen
OH,47,45,8/31,2-Sep,Opinion Research
OH,44,43,8/17,24-Aug,Quinnipiac U.
OH,41,42,8/12,21-Aug,Columbus Dispatch
OH,41,45,8/18,18-Aug,Rasmussen
OH,40,40,7/17,17-Aug,U. of Akron
OH,46,44,7/23,29-Jul,Quinnipiac U.
OH,40,46,7/21,21-Jul,Rasmussen
OH,48,46,6/20,22-Jun,SurveyUSA
OH,43,44,6/17,17-Jun,Rasmussen
OH,48,42,6/9,16-Jun,Quinnipiac U.
OH,40,44,5/13,20-May,Quinnipiac U.
OH,48,39,5/16,18-May,SurveyUSA
OH,44,45,5/14,14-May,Rasmussen
OH,42,43,4/23,29-Apr,Quinnipiac U.
OH,45,47,4/11,13-Apr,SurveyUSA
OH,40,47,4/8,8-Apr,Rasmussen
OH,43,42,3/24,31-Mar,Quinnipiac U.
OH,43,50,3/14,16-Mar,SurveyUSA
OH,40,46,3/13,13-Mar,Rasmussen
OH,50,40,2/26,28-Feb,SurveyUSA
OH,48,47,2/21,24-Feb,U. of Cincinnati
OH,41,42,2/17,17-Feb,Rasmussen
OH,47,44,2/15,17-Feb,SurveyUSA
OH,40,42,2/6,12-Feb,Quinnipiac U.
OH,43,50,1/4,6-Jan,SurveyUSA
OK,34,63,10/28,29-Oct,SurveyUSA
OK,35,59,10/18,19-Oct,SurveyUSA
OK,32,63,10/10,12-Oct,TV Poll
OK,29,66,10/4,5-Oct,TV Poll
OK,34,64,9/28,29-Sep,SurveyUSA
OK,34,61,9/15,18-Sep,ARG
OK,32,63,9/11,11-Sep,Rasmussen
OK,32,65,9/5,7-Sep,SurveyUSA
OK,24,56,7/19,23-Jul,Sooner Poll
OK,34,57,2/26,28-Feb,SurveyUSA
OR,54,42,10/30,30-Oct,Rasmussen
OR,57,38,10/29,30-Oct,SurveyUSA
OR,49,41,10/18,27-Oct,Northern Arizona U.
OR,57,38,10/25,26-Oct,SurveyUSA
OR,48,34,10/10,20-Oct,Riley Research
OR,54,41,10/14,14-Oct,Rasmussen
OR,57,40,10/11,12-Oct,SurveyUSA
OR,54,43,10/9,9-Oct,Rasmussen
OR,52,41,9/22,23-Sep,SurveyUSA
OR,52,41,9/19,22-Sep,ARG
OR,51,47,9/15,15-Sep,Rasmussen
OR,50,40,9/11,14-Sep,Davis Hibbitts Midghall
OR,47,37,8/7,7-Aug,Rasmussen
OR,48,45,8/2,4-Aug,SurveyUSA
OR,46,37,7/16,16-Jul,Rasmussen
OR,48,45,6/17,19-Jun,SurveyUSA
OR,46,38,6/11,11-Jun,Rasmussen
OR,49,39,5/16,18-May,SurveyUSA
OR,52,38,5/7,7-May,Rasmussen
OR,51,42,4/11,13-Apr,SurveyUSA
OR,48,42,3/26,26-Mar,Rasmussen
OR,50,41,3/14,16-Mar,SurveyUSA
OR,49,41,2/26,28-Feb,SurveyUSA
OR,46,38,2/7,18-Feb,Riley Res.
OR,48,47,2/15,17-Feb,SurveyUSA
OR,49,40,2/13,13-Feb,Rasmussen
OR,47,47,1/11,13-Jan,SurveyUSA
PA,54,40,10/30,2-Nov,Zogby
PA,52,45,10/28,1-Nov,Muhlenberg Coll.
PA,52,46,11/1,1-Nov,Rasmussen
PA,51,44,10/29,31-Oct,SurveyUSA
PA,51,45,10/29,31-Oct,ARG
PA,51,47,10/30,30-Oct,Rasmussen
PA,47,43,10/27,28-Oct,Mason-Dixon
PA,55,43,10/23,28-Oct,Opinion Research
PA,53,41,10/23,27-Oct,Muhlenberg Coll.
PA,53,46,10/27,27-Oct,Rasmussen
PA,55,41,10/26,27-Oct,Marist Coll.
PA,50,41,10/20,26-Oct,Temple U.
PA,51,42,10/26,26-Oct,Insider Advantage
PA,52,40,10/22,26-Oct,GfK Roper
PA,53,40,10/21,26-Oct,Franklin+Marshall Coll.
PA,53,40,10/22,26-Oct,Siena Coll.
PA,53,41,10/22,26-Oct,Quinnipiac U.
PA,52,41,10/19,22-Oct,U. of Wisconsin
PA,52,42,10/18,22-Oct,Muhlenberg Coll.
PA,53,41,10/21,22-Oct,SurveyUSA
PA,53,40,10/16,21-Oct,Quinnipiac U.
PA,51,41,10/16,20-Oct,Financial Dynamics
PA,48,40,10/16,19-Oct,Susquehanna Polling
PA,52,39,10/13,17-Oct,Muhlenberg Coll.
PA,55,40,10/11,13-Oct,SurveyUSA
PA,51,38,10/8,12-Oct,Muhlenberg Coll.
PA,50,39,10/5,9-Oct,Muhlenberg Coll.
PA,53,41,10/5,8-Oct,Marist Coll.
PA,52,42,10/3,6-Oct,West Chester U.
PA,54,41,10/6,6-Oct,Rasmussen
PA,55,40,10/5,6-Oct,SurveyUSA
PA,50,40,9/30,4-Oct,Muhlenberg Coll.
PA,49,41,9/25,29-Sep,Muhlenberg Coll.
PA,54,39,9/27,29-Sep,Quinnipiac U.
PA,48,43,9/23,28-Sep,Franklin+Marshall Coll.
PA,50,42,9/28,28-Sep,Rasmussen
PA,47,43,9/21,25-Sep,Muhlenberg Coll.
PA,49,45,9/24,24-Sep,Rasmussen
PA,50,44,9/23,24-Sep,SurveyUSA
PA,53,44,9/21,23-Sep,Opinion Research
PA,43,41,9/18,22-Sep,Financial Dynamics
PA,50,46,9/20,22-Sep,ARG
PA,48,45,9/21,21-Sep,Rasmussen
PA,46,44,9/16,18-Sep,Mason-Dixon
PA,45,45,9/14,17-Sep,U. of Wisconsin
PA,49,44,9/11,15-Sep,Marist Coll.
PA,47,47,9/14,14-Sep,Rasmussen
PA,48,45,9/5,9-Sep,Quinnipiac U.
PA,47,45,9/7,7-Sep,Rasmussen
PA,48,43,8/24,26-Aug,Opinion Research
PA,49,42,8/17,24-Aug,Quinnipiac U.
PA,45,40,8/19,19-Aug,Rasmussen
PA,46,41,8/11,14-Aug,Susquehanna Polling
PA,46,41,8/4,10-Aug,Franklin+Marshall Coll.
PA,49,42,7/23,29-Jul,Quinnipiac U.
PA,47,42,7/23,23-Jul,Rasmussen
PA,46,42,6/22,22-Jun,Rasmussen
PA,52,40,6/9,16-Jun,Quinnipiac U.
PA,45,43,5/21,21-May,Rasmussen
PA,46,40,5/13,20-May,Quinnipiac U.
PA,48,40,5/16,18-May,SurveyUSA
PA,46,39,5/1,6-May,Susquehanna Polling
PA,47,38,4/23,29-Apr,Quinnipiac U.
PA,43,44,4/24,24-Apr,Rasmussen
PA,47,39,4/9,9-Apr,Rasmussen
PA,47,40,3/27,9-Apr,Temple U.
PA,43,39,3/24,31-Mar,Quinnipiac U.
PA,41,45,3/5,10-Mar,Susquehanna Polling
PA,43,44,3/10,10-Mar,Rasmussen
PA,42,47,2/26,28-Feb,SurveyUSA
PA,43,44,2/13,18-Feb,Franklin+Marshall Coll.
PA,39,42,2/9,17-Feb,Muhlenberg Coll.
PA,49,39,2/14,14-Feb,Rasmussen
PA,42,41,2/6,12-Feb,Quinnipiac U.
PA,38,46,1/8,8-Jan,Rasmussen
RI,48,26,9/30,1-Oct,Opinion Factor
RI,47,34,9/15,16-Sep,Brown U.
RI,58,39,9/13,13-Sep,Rasmussen
RI,59,33,9/11,13-Sep,ARG
RI,51,30,8/18,20-Aug,Brown U.
RI,55,31,6/30,30-Jun,Rasmussen
RI,53,25,6/18,27-Jun,Rhode Island Coll.
RI,53,38,2/26,28-Feb,SurveyUSA
SC,44,52,10/28,29-Oct,SurveyUSA
SC,42,53,10/25,28-Oct,Princeton Survey
SC,43,54,10/20,20-Oct,Rasmussen
SC,35,55,9/28,19-Oct,Winthrop U.
SC,41,55,10/12,13-Oct,SurveyUSA
SC,39,58,9/21,22-Sep,SurveyUSA
SC,45,51,9/18,18-Sep,Rasmussen
SC,37,59,9/14,17-Sep,ARG
SC,39,48,6/5,5-Jun,Rasmussen
SC,45,48,2/26,28-Feb,SurveyUSA
SD,44,53,10/30,30-Oct,Rasmussen
SD,41,48,10/13,15-Oct,Mason-Dixon
SD,39,55,9/19,21-Sep,ARG
SD,37,54,9/9,9-Sep,Rasmussen
SD,43,47,7/9,9-Jul,Rasmussen
SD,34,51,3/24,3-Apr,Dakota Wesleyan U.
SD,38,48,3/4,4-Mar,Rasmussen
SD,43,47,2/26,28-Feb,SurveyUSA
TN,42,54,10/16,16-Oct,Rasmussen
TN,39,58,9/29,29-Sep,Rasmussen
TN,35,55,9/15,27-Sep,Middle Tenn. State U.
TN,36,48,9/15,27-Sep,Middle Tenn. State U.
TN,39,55,9/22,24-Sep,Mason-Dixon
TN,36,59,9/16,19-Sep,ARG
TN,32,56,8/20,20-Aug,Rasmussen
TN,36,51,6/24,24-Jun,Rasmussen
TN,31,58,4/3,3-Apr,Rasmussen
TN,38,54,2/26,28-Feb,SurveyUSA
TN,36,50,2/11,23-Feb,Middle Tenn. State U.
TX,40,51,10/15,22-Oct,U. of Texas
TX,44,54,10/21,21-Oct,Rasmussen
TX,38,57,10/5,8-Oct,ARG
TX,43,52,9/29,29-Sep,Rasmussen
TX,36,57,9/13,16-Sep,ARG
TX,41,50,8/21,21-Aug,Rasmussen
TX,33,43,7/18,30-Jul,U. of Texas
TX,41,50,7/30,30-Jul,Rasmussen
TX,39,48,6/25,25-Jun,Rasmussen
TX,38,43,6/12,20-Jun,Texas Lyceum
TX,39,52,6/2,2-Jun,Rasmussen
TX,43,48,5/1,1-May,Rasmussen
TX,46,47,2/26,28-Feb,SurveyUSA
TX,41,49,2/23,25-Feb,SurveyUSA
TX,44,52,2/14,17-Feb,Opinion Res.
UT,32,57,10/24,30-Oct,Dan Jones
UT,32,55,10/23,25-Oct,Mason-Dixon
UT,29,65,9/10,13-Sep,ARG
UT,24,62,9/8,11-Sep,Dan Jones
UT,32,64,9/10,10-Sep,Rasmussen
UT,23,62,8/13,15-Aug,Mason-Dixon
UT,29,57,6/16,19-Jun,Dan Jones
UT,33,52,6/19,19-Jun,Rasmussen
UT,27,62,5/13,19-May,Dan Jones
UT,39,50,2/26,28-Feb,SurveyUSA
VT,60,36,10/9,9-Oct,Rasmussen
VT,56,38,9/18,22-Sep,ARG
VT,60,36,9/13,13-Sep,Rasmussen
VT,63,29,2/26,28-Feb,SurveyUSA
VA,51,45,10/30,2-Nov,Zogby
VA,50,46,10/30,1-Nov,SurveyUSA
VA,47,44,10/29,30-Oct,Mason-Dixon
VA,53,44,10/23,28-Oct,Opinion Research
VA,48,44,10/23,27-Oct,Financial Dynamics
VA,51,47,10/26,27-Oct,Marist Coll.
VA,48,39,10/19,26-Oct,Roanoke Coll.
VA,49,42,10/22,26-Oct,GfK Roper
VA,51,47,10/26,26-Oct,Rasmussen
VA,52,43,10/25,26-Oct,SurveyUSA
VA,52,45,10/23,26-Oct,Zogby
VA,52,44,10/22,25-Oct,Washington Post
VA,51,40,10/20,22-Oct,Virg. Commonwealth U.
VA,47,45,10/20,21-Oct,Mason-Dixon
VA,54,44,10/19,21-Oct,Opinion Research
VA,45,44,9/28,19-Oct,Winthrop U.
VA,51,45,10/18,19-Oct,SurveyUSA
VA,54,44,10/16,16-Oct,Rasmussen
VA,49,43,10/11,14-Oct,Christopher Newport U.
VA,53,43,10/11,14-Oct,Opinion Research
VA,50,47,10/12,12-Oct,Rasmussen
VA,50,48,10/5,5-Oct,Rasmussen
VA,51,39,10/3,5-Oct,Suffolk U.
VA,53,43,10/4,5-Oct,SurveyUSA
VA,45,48,9/29,1-Oct,Mason-Dixon
VA,53,44,9/28,30-Sep,Opinion Research
VA,46,49,9/27,29-Sep,ARG
VA,51,45,9/29,29-Sep,Insider Advantage
VA,50,47,9/28,28-Sep,Rasmussen
VA,50,45,9/25,25-Sep,Rasmussen
VA,44,47,9/17,22-Sep,Mason-Dixon
VA,48,50,9/21,21-Sep,Rasmussen
VA,49,46,9/18,21-Sep,ABC News
VA,49,46,9/18,21-Sep,Washington Post
VA,51,45,9/19,21-Sep,SurveyUSA
VA,46,48,9/17,20-Sep,ARG
VA,46,48,9/17,17-Sep,Insider Advantage
VA,41,48,9/11,15-Sep,Financial Dynamics
VA,39,48,9/10,14-Sep,Christopher Newport U.
VA,48,48,9/14,14-Sep,Rasmussen
VA,50,46,9/12,14-Sep,SurveyUSA
VA,46,50,9/7,9-Sep,Opinion Research
VA,47,49,9/5,7-Sep,SurveyUSA
VA,47,49,9/7,7-Sep,Rasmussen
VA,43,43,8/12,12-Aug,Insider Advantage
VA,46,45,8/12,12-Aug,Rasmussen
VA,47,48,8/8,10-Aug,SurveyUSA
VA,44,44,7/16,16-Jul,Rasmussen
VA,49,47,6/20,22-Jun,SurveyUSA
VA,45,44,6/12,12-Jun,Rasmussen
VA,36,44,5/12,18-May,Virg. Commonwealth U.
VA,49,42,5/16,18-May,SurveyUSA
VA,44,47,5/8,8-May,Rasmussen
VA,44,52,4/11,13-Apr,SurveyUSA
VA,41,52,3/27,27-Mar,Rasmussen
VA,48,47,3/14,16-Mar,SurveyUSA
VA,47,47,2/26,28-Feb,SurveyUSA
VA,44,49,2/19,19-Feb,Rasmussen
VA,51,45,2/15,17-Feb,SurveyUSA
VA,40,52,1/16,17-Jan,SurveyUSA
WA,51,39,10/27,31-Oct,U. of Washington
WA,56,39,10/26,27-Oct,SurveyUSA
WA,55,34,10/18,26-Oct,U. of Washington
WA,54,43,10/22,22-Oct,Rasmussen
WA,55,36,10/16,19-Oct,Elway Poll
WA,56,40,10/12,13-Oct,SurveyUSA
WA,53,43,10/2,2-Oct,Rasmussen
WA,54,43,9/21,22-Sep,SurveyUSA
WA,50,44,9/16,18-Sep,ARG
WA,49,47,9/10,10-Sep,Rasmussen
WA,45,39,9/6,8-Sep,Elway Poll
WA,49,45,9/5,7-Sep,SurveyUSA
WA,51,44,8/11,12-Aug,SurveyUSA
WA,52,40,8/6,6-Aug,Rasmussen
WA,47,35,7/22,31-Jul,Elway Poll
WA,55,39,7/13,15-Jul,SurveyUSA
WA,51,43,7/9,9-Jul,Rasmussen
WA,55,40,6/17,19-Jun,SurveyUSA
WA,53,35,6/9,9-Jun,Rasmussen
WA,56,39,6/7,9-Jun,SurveyUSA
WA,44,38,5/21,25-May,Elway Poll
WA,52,36,5/16,18-May,SurveyUSA
WA,51,40,5/12,12-May,Rasmussen
WA,54,42,5/12,12-May,SurveyUSA
WA,53,40,4/14,16-Apr,SurveyUSA
WA,51,44,4/7,7-Apr,SurveyUSA
WA,48,43,3/27,27-Mar,Rasmussen
WA,45,39,3/18,20-Mar,Elway Poll
WA,52,41,3/14,16-Mar,SurveyUSA
WA,44,45,2/28,28-Feb,Rasmussen
WA,52,38,2/26,28-Feb,SurveyUSA
WA,55,38,2/3,4-Feb,SurveyUSA
WA,52,43,1/11,13-Jan,SurveyUSA
WV,40,50,10/23,26-Oct,Zogby
WV,44,49,10/20,21-Oct,West Virginia Wesleyan U.
