State,Kerry,Bush,Date,Pollster
TX,37,59,10/26,SurveyUSA
TX,32,58,10/19,Sripps Research
TX,37,60,10/9,SurveyUSA
TX,37,58,9/19,SurveyUSA
TX,36,58,9/17,ARG
TX,37,58,8/22,Survey USA
TX,37,55,6/30,Rasmussen
TX,38,58,5/31,Rasmussen
TX,29,58,5/15,Rasmussen
UT,24,69,10/24,Dan Jones
UT,23,68,10/23,Valley Research
UT,27,64,9/11,ARG
UT,25,65,9/7,Dan Jones
UT,22,67,5/13,Dan Jones
VT,53,40,10/10,Rsearch
VT,50,40,9/10,ARG
VA,33,51,11/3,Rasmussen
VA,47,51,10/27,SurveyUSA
VA,44,50,10/23,Mason-Dixon
VA,40,49,10/22,Times-Dispatch
VA,47,50,10/15,Zogby
VA,47,50,10/2,Zogby
VA,43,49,9/25,Mason-Dixon
VA,42,53,9/21,SurveyUSA
VA,47,50,9/14,Zogby
VA,43,49,9/12,ARG
VA,45,49,8/22,Survey USA
VA,45,48,7/31,Rasmussen
VA,45,50,7/8,Survey USA
VA,45,47,5/31,Rasmussen
WA,51,47,10/29,SurveyUSA
WA,50,45,10/25,Mason-Dixon
WA,52,45,10/15,SurveyUSA
WA,54,44,10/15,Zogby
WA,50,44,10/14,Elway Poll
WA,54,44,10/2,Zogby
WA,51,46,9/19,SurveyUSA
WA,51,42,9/18,IPSOS
WA,52,38,9/17,Elway Poll
WA,50,43,9/16,Rasmussen
WA,51,44,9/10,ARG
WA,52,44,9/5,Gallup
WA,53,45,8/21,Zogby
WA,51,43,8/17,Survey USA
WA,51,43,8/2,Survey USA
WA,53,45,7/30,Zogby
WA,52,44,7/23,Zogby
WA,53,44,7/10,Zogby
WA,49,41,6/28,Fairbank-Maslin
WA,43,43,6/24,Moore Information
WA,52,45,6/20,Zogby
WA,46,42,6/11,Mason-Dixon
WA,46,45,6/11,Moore Information
WA,49,44,6/3,Survey USA
WA,53,44,5/23,Zogby
WV,43,51,10/27,Mason-Dixon
WV,46,49,10/15,Zogby
WV,44,49,10/14,Mason-Dixon
WV,44,50,10/2,Zogby
WV,42,51,9/18,Gallup
WV,44,50,9/15,Rasmussen
WV,39,51,9/14,Zogby
WV,46,46,9/14,ARG
WV,44,45,9/13,Mason-Dixon
WV,42,49,8/21,Zogby
WV,48,44,7/30,Zogby
WV,47,44,7/28,ARG
WV,44,48,7/23,Zogby
WV,43,51,7/10,Zogby
WV,43,49,6/20,ARG
WV,43,49,6/20,Zogby
WV,47,44,6/17,ARG
WV,47,41,5/28,Mason-Dixon
WV,46,48,5/23,Zogby
WI,45,48,10/30,Opinion Dynamics
WI,45,49,10/28,Gallup
WI,48,46,10/27,Mason-Dixon
WI,48,47,10/25,ARG
WI,45,48,10/24,Badger Poll
WI,48,46,10/24,Zogby
WI,43,51,10/17,Gallup
WI,47,47,10/17,ARG
WI,45,45,10/16,Mason-Dixon
WI,47,48,10/16,Univ. of MN
WI,51,48,10/15,Zogby
WI,47,43,10/9,Market Shares
WI,48,43,10/8,St. Norbert Coll
WI,45,48,10/3,Gallup
WI,51,48,10/2,Zogby
WI,40,50,9/23,Harris
WI,45,51,9/20,IPSOS
WI,38,52,9/17,Badger Poll
WI,44,50,9/17,ABC News
WI,44,46,9/14,Mason-Dixon
WI,50,48,9/14,Zogby
WI,46,46,9/13,ARG
WI,44,52,9/10,Gallup
WI,44,48,8/24,LA Times
WI,51,46,8/21,Zogby
WI,50,48,7/30,Zogby
WI,50,46,7/23,Zogby
WI,48,42,7/15,ARG
WI,45,46,7/12,Hubert Humphrey Inst
WI,53,44,7/10,Zogby
WI,42,46,6/23,Badger
WI,51,46,6/20,Zogby
WI,42,44,6/8,LA Times
WI,52,44,5/23,Zogby
WY,29,65,9/9,ARG
